ugc_code,university_name,university_type,city_guess,state,region,website,contact,email
173,Kadi  Sarva Vishwavidyalaya,,15/23 Gandhinagar,Gujarat,West,http://ksvuniversity.org.in,079-23222664  23241492  079-23244690,info@ksvuniversity.org.in 
174,Nirma University,,Chharodi Ahmedabad,Gujarat,West,http://www.nirmauni.ac.in,02717-241900 to 04  241911 to 15  02717-241916-17,asst_registrar@nirmauni.ac.in  webmaster@nirmauni.ac.in
175,Pandit Deendayal petroleum University,,At Raisan,Gujarat,West,http://www.pdpu.ac.in,079-23275060  23275030  NULL,info@pdpu.ac.in
176,The Northcap University,,23-A Gurgaon,Haryana,North,http://ncuindia.edu,0124-2365811 to 13  0124-2367488 ,ncu@ncuindia.edu
177,O.P. Jindal Global University,,Sonipat,Haryana,North,http://www.jgls.org,91-130-3057804  91-130-3057808,admissions@jgu.edu.in
178,Acharaya N.G.Ranga Agricultural University,,Lam Gantur,Andhra Pradesh,South,http://www.angrau.ac.in,24015161  24015163/24015011 to 24015017  ,"angrau@ap.nic.in,angrau_help@yahoo.com"
179,Acharaya Nagarjuna University,,Nagar Guntur,Andhra Pradesh,South,http://www.anu.ac.in,0863-22346114  0863-2293320 ,
180,Adikavi Nannaya University,,Jayakrishnapuram Rajahmundry,Andhra Pradesh,South,http://www.nannayauniversity.info/,8121692457/9440801165  ,
181,Alagappa University,,Sivaganga District,Tamil Nadu,South,http://alagappauniversity.ac.in/, 04565 - 223100  ,registraralagappauniv@gmail.com
182,Aliah University,,Town Kolkata,West Bengal,East,http://www.aliah.ac.in,91-33-2706-2269  2706-2271  2367-1432  1800-345-1786  ,infodesk@aliah.ac.in
183,Anand Agricultural University,,Anand,Gujarat,West,http://www.aau.in,91 (0)2692-225800  ,
184,Dr. N.T.R. University of Health Sciences,,Vijayawada,Andhra Pradesh,South,http://www.ntruhs.ap.nic.in,  ,
185,Andhra University,,Visakhapatnam,Andhra Pradesh,South,http://www.andhrauniversity.info/,0891-2755547  2755324  2539510  0891-2755547  2755324,aulibra@md2.vsnl.net.in
186,Anna University,,Guindy Chennai,Tamil Nadu,South,http://www.annauniv.edu,  ,
187,Annamalai University,,Annamalainagar,Tamil Nadu,South,http://www.annamalaiuniversity.ac.in,04144-238282  04144-238080,
188,Assam Agricultural University,,013. (,Assam,Northeast,http://www.aau.ac.in,0376-2340013  2340350  2340008  2310304  0376-2340001,
189,Awadesh Pratap Singh University,,486 003.,Madhya Pradesh,Central,http://www.apsurewa.nic.in, 07662 - 233340  07662 - 233436,ccapsu@gmail.com 
190,Baba Farid University of Health Sciences,,203 Panjab,Punjab,North,http://www.bfuhs.ac.in,01639-256253  FAX No.01639 - 256234,generalinfo@bfuhs.ac.in
191,Baba Ghulam Shah Badshah University,,Himmat Jammu,Jammu and Kashmir,North,http://www.bgsbuniversity.org,01962-262616   0191-2464402  2466892/ Mob. 9419103565,bgsbu@rediffmail.com
192,Babasaheb Bhimrao Ambedkar Bihar University,,842 001.,Bihar,East,http://www.brabu.net/,0621-2243071   0621-2242495 ,registrar.brabu@gmail.com  mca.brabu.net@gmail.com   
193,Bangalore University,,Bharathi Bangalore,Karnataka,South,www.bangaloreuniversity.ac.in ,  ,
194,Barkatullaah University,,462 026.,Madhya Pradesh,Central,http://www.bubhopal.nic.in,2517100  2517200  ,
195,Bastar Vishwavidyalaya,,Jagdalpur,Chhattisgarh,Central,http://www.bvvjdp.ac.in,07782-239037  ,Info@bvvjdp.ac.in
196,Berhampur University,,Berhampur Bhanja,Bihar,East,http://www.buodisha.edu.in,  ,
197,Bhagat Phool Singh Mahila Vishwavidyalaya,,Kalan Sonipat,Haryana,North,http://www.bpswomenuniversity.ac.in,01263-283001  002  283111  01263-283779,vcebpswomenuniversity.ac.in
198,Bharathiar University,,641 046.,Tamil Nadu,South,http://www.bdu.ac.in,0431-2407071  2407072  2407074  2407075  Fax: (91) 422-2422387.,office@bdu.ac.in
199,Bharathidasan University,,Palkalaiperur Tiruchirappalli,Tamil Nadu,South,http://www.bdu.ac.in,0431-2407071  0431-2407072  2407074  2407075,office@bdu.ac.in
200,Krishnakumarsinhji Bhavnagar University,,Road Bhavnagar,Gujarat,West,http://www.bhavuni.edu,0278-2426519  2430002  2430006  2430007  2564626  0278-2426706/2513943,drhc_trivedi@rediffmail.com
201,Bhupender Narayan Mandal University,,113. (,Bihar,East,http://bnmu.bih.nic.in,06476-222059  222060  222779  06476-222068/222578,
202,Bidhan Chandra Krishi Vishwavidyalaya,,252 (WB),West Bengal,East,http://www.bckv.edu.in,"(03473)-222269	  (03473)-223256 /57 / 58 / 59",
203,Biju Patnaik University of Technology,,Orissa -,,,http://www.bput.ac.in,(0661) 2402560  ,"students@bput.ac.in,bput@bput.ac.in"
204,Birsa Agricultural University,,834 006.(,Jharkhand,East,http://www.baujharkhand.org,+91-651-2450832  Fax: +91-651-2450850,www.baujharkhand.org
205,Bundelkhand University,,128 (UP),Uttar Pradesh,North,http://www.bujhansi.org,0510-2320497  2320046  2320496  2321214  0510- 2320761/2320762/2321667,bujhansi@up.nic.in
206,Burdwan University,,Rajbati Burdwan,West Bengal,East,http://www.buruniv.ac.in,-2635226,
207,Calcutta University,,700 073.,West Bengal,East,http://www.caluniv.ac.in,033-22413288  25747474  22410071  24037237  033- 22413222,
208,Calicut University,,District Calicut,Kerala,South,http://www.universityofcalicut.info,"0494-2407227  2400809  2400816  0494-2400252,2407104",
209,CEPT University,,Ahmedabad-380009,Gujarat,West,http://www.cept.ac.in,0091-79-26302470 / 26302740  0091-79-26302075,registrar@cept.ac.in
210,Chanakya National Law University,,Mithapur Patna-800001,Bihar,East,http://www.cnlu.ac.in,0612-2352302  2352309  0612-2352315   ,chanakyalawuniv@gmail.com  contact@cnlu.ac.in
211,Chandr Shekhar Azad University of Agriculture & Technology,,208 002.,Uttar Pradesh,North,http://www.csauk.ac.in,-2534125,info@csauk.ac.in
212,Chatrapati Sahuji Maharaj Kanpur University,,Kalyanpur KANPUR,Uttar Pradesh,North,http://www.kanpuruniversity.org,  ,
213,Chaudhary Devi Lal University,,Sirsa,Haryana,North,http://www.cdlu.in,01666-6248052  247600  01666-248123  239819,
214,Chhattisgarh Swami Vivekanad Technical Universty,,Durg-490009 Chatisgarh,Chhattisgarh,Central,http://www.csvtu.ac.in,-2262008,csvtubhilai@rediffmail.com
215,Choudary Charan Singh Haryana Agricultural Univeersity,,125 004.,Haryana,North,http://www.hau.ac.in,0172-255000  256000  ,regi@hau.ac.in
216,Choudary Charan Singh University,,200 005.,Uttar Pradesh,North,http://www.ccsuniversity.ac.in,0121-2760551  2760554  2760576  2763539  2765353  0121-2760577/ 2762838,
217,Cochin Unviersity of Science & Technology,,682 022.,Kerala,South,http://www.cusat.edu,0484-2577290/2577550  ,registrar@cusat.ac.in
218,Davangere University,,Shivagangothri Davangere,Karnataka,South,http://www.davangereuniversity.ac.in,08192-208029  ,registrar@davnagereuniversity.ac.in
219,Deen Bandhu Chhotu Ram University of Sciences & Technology,,Murthal,Haryana,North,http://www.dcrusm.org,0130-2484003/2484005  0130-2484004,"registrar@dcrustm.org,rkarora.dcrust@gmail.com"
220,Deen Dayal Upadhyay Gorakhpur University,,009. (U.P.),Uttar Pradesh,North,http://www.ddugu.edu.in,  ,registrarddugu@gmail.com registrar@ddugu.edu.in
221,Devi Ahilya Vishwavidyalaya,,Marg Indore,Madhya Pradesh,Central,http://www.dauniv.ac.in,0731-2524863/2580135/2580137  ,
222,Dharmsinh Desai University,,Road Nadiad-387001,Gujarat,West,http://www.ddit.ac.in,0268-2520502  2521007  0268-2520501,
223,Dibrugarh University,,004. (,Assam,Northeast,http://www.dibru.ac.in,  ,
224,Doon University,,Nagar Dehradun,Uttarakhand,North,http://www.gov.ua.nic.in/doonuniversity,0135-2533136  2533105  0135-2533115  2533110,registrardoon@gmail.com  ardoonuniversity@gmail.com
225,Dr. B.R.Ambedkar   University,,Srikakulam Etcherla,Andhra Pradesh,South,http://www.brau.in,08942-240900  ,http://www.brau.in
226,Dr. B.R.Ambedkar Open University,,500 033.,Telangana,South,http://www.braou.ac.in,040-23544910  27223810  23680211  27963627  040-23544830/23548433,open@braou.ac.in
227,Dr. B.R. Ambedkar University,,Agra-282 004.,Uttar Pradesh,North,http://www.brauagra.ac.in,2820051  2852118  2852136  ,info@dbrau.ac.in
228,Dr. Babasaheb Ambedkar Marathwada University,,Jaisingpura Aurangabad,Maharashtra,West,http://www.bamu.net,2403400  2400431  2403199,
229,Dr. Babasaheb Ambedkar Open University,,Chharodi Ahmedabad,Gujarat,West,http://www.baou.edu.in/,  ,info@baou.edu.in
230,Dr. Babasaheb AmbedkarTechnological University,,Lonere-402103 Dt-Raigad.,Maharashtra,West,http://www.dbatu.ac.in,  ,
231,Dr. Punjabrao Deshmukh Krishi Vidyapeeth,,444 104.,Maharashtra,West,http://www.pdkv.mah.nic.in,0724-2258200  2258217,
232,Dr. Ram Manohar Lohia Awadh University,,001 (U.P),Uttar Pradesh,North,http://www.rmlau.ac.in,  ,
233,Dr. Ram Manohar Lohiya National Law University,,Lucknow U.P.,Uttar Pradesh,North,http://www.rmlau.ac.in,  ,registrar@rmlnlu.ac.in  
234,Dr. Shakuntala Misra National Rehabilitation University,,Road Lucknow,Uttar Pradesh,North,http://www.dsmru.up.nic.in,0522-2998380  ,Registrar@dsmnru.ac.in
235,Dr. Y.S.Parmar University of Horticulture & Forestry,,Solan-173230 (H.P),Himachal Pradesh,North,http://www.yspuniversity.ac.in,01792-252357  252363  252343  252219  252365  01792-252242/252009,
236,Dravidian University,,Kuppam-517 425,Andhra Pradesh,South,http://www.dravidianuniversity.ac.in,08570-278236  ,
237,Fakir Mohan University,,756 020,,,http://www.fmuniversity.nic.in,06782-275768  ,registrarfmuniversity@gmail.com
238,G.B.Pant University of Agriculture & Technology,,Nagar-263 145,Uttarakhand,North,http://www.gbpuat.ac.in,+91-5944-233320  233350  Fax: +91-5944-233473 ,
239,Gauhati University,,Guwahati-781014 (,Assam,Northeast,http://www.gauhati.ac.in,  ,
240,Univesity of Gour Banga,,Distt. Malda,West Bengal,East,http://www.ugb.ac.in,03512-223664 / 223666  ,E-mail: registrar@ugb.ac.in
241,Gautam Buddha University,,Greater Noida,Uttar Pradesh,North,http://www.gbu.ac.in,0120-2344200  ,
242,Goa University,,Teleiogao Plateau,Goa,West,http://http://www.unigoa.ac.in/,0832-6519000/6519001  6519044  2451376  2425174  0832-2451184  2452889,
243,Gujarat Ayurveda University,,Jamnagar-361 008,Gujarat,West,http://www.ayurveduniversity.edu.in,0288-2677324  2750912  2676854  2661188  0288-2555966/2555585,info@ayurveduniversity.com
244,Gujarat National Law University,,P.O) Gandhinagar,Gujarat,West,http://www.gnlu.ac.in,91 - 79 - 23276611 /12  91-79-23276613/ 7878186624 (FAX),contact@gnlu.ac.in
245,Gujarat Technological University,,,Gujarat,West,http://www.gtu.ac.in,079-2630 0499   0599  ,info@gtu.ac.in
246,Gujarat University,,380 009.,Gujarat,West,http://www.gujaratuniversity.org.i,079-27541392  55449002  27546767  27541288  079-27542547,
247,Gulbarga University,,585 106,Karnataka,South,http://www.gulbargauniversity.kar.nic.ini,91-8472-263202  08472-263205  245927  245632  263206,root@guluni.kar.nic.in
248,Guru Angad Dev Veterinary & Animal Sciences University,,Road Ludhiana,Punjab,North,http://www.gadvasu.in,  ,
249,Guru Jambeshwar University of Science and Technology,,125 001.,Haryana,North,http://www.gju.ernet.in,  ,
250,Guru Nanak Dev University,,143 005,Punjab,North,http://www.gndu.ac.in,-2255803,
251,Hemchandracharya North Gujarat University,,265. (,Gujarat,West,http://www.ngu.ac.in,02766-222745  220932  230743  02766-230529  233648  Fax-02766-231917,regi@ngu.ac.in
252,Hidayatullah National Law University,,Raipur Chattisgarh-493661,Chhattisgarh,Central,http://www.hnlu.ac.in,"0771-3057603,604  ",
253,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,,,Himachal Pradesh,North,http://www.hillagric.ernet.in,  ,
254,Himachal Pradesh University,,005. (HP),Himachal Pradesh,North,http://www.hpuniv.nic.in,91-177: 2830445  2830635  2830709  2830741  2831637  2831727  2831742  2831998  0177-2830775  2830912,vc_hpu@hotmail.com  vchpu@jla.vsnl.net.in  deanstudies@gmail.com  
255,Indira Gandhi Krishi Vishwavidyalaya,,492 012.(Chattisgarh),Chhattisgarh,Central,http://www.igau.edu.in,  ,
256,Indira Kala Sangeet Vishwavidyalaya,,Khairagarh-491881.(Chattisgarh),Chhattisgarh,Central,http://www.iksvv.com,(+91) 07820 - 234232  (+91) 07820 - 234727,reg@iksvv.com
257,Islamic University of Sciences & Technology University,,122 Kashmir,Jammu and Kashmir,North,http://www.islamicuniversity.edu.in,01933-247954  01933-247955,info@islamicuniversity.edu.in
258,Jadavpur University,,700 032.,West Bengal,East,http://www.jadavpur.edu,  ,
259,Jagadguru Ramanandacharya Sanskrit University,,:Bhankrota Jaipur-302026,Rajasthan,North,http://www.jrrsanskrituniversity.ac.in,  ,jrrsu@yahoo.com
260,Jai Naraim Vyas University,,342 001.(,Rajasthan,North,http://www.jnvu.org,  ,http://www.jnvu.edu.in
261,Jai Prakash vishwavidyalaya(university),,301. (,Bihar,East,http://jpv.bih.nic.in,[06152] - 243898  [06152] - 232607,
262,Jammu University,,180 004.,Jammu and Kashmir,North,http://www.jammuuniversity.in,0191-2435248  2435259  2453544  2453588  ,
263,Jawaharlal Nehru Krishi Vishwavidyalaya,,Jabalpur-482 004.,Madhya Pradesh,Central,http://www.jnkvv.nic.in,0761-2681200  0761-2681608  0761-2353314 ,skjain_jnau@yahoo.com
264,Jawaharlal Nehru Technological University,,500 085.,Andhra Pradesh,South,http://www.jntuh.ac.in, +91-040-2315 8661 to 2315 8664  ,
265,Jawaharlal Nehru Technological University,,Road Kakinada,Andhra Pradesh,South,http://www.jntuk.edu.in,0884-2300900  ,registrar@jntuk.edu.in  gvrp_raju@yahoo.com
266,Jawaharlal Nehru Technological University,,Anantpur,Andhra Pradesh,South,http://www.jntua.ac.in,  ,
267,Jiwaji University,,001. (MP),Madhya Pradesh,Central,http://www.jiwaji.edu,+91 751 2442712  ,
268,Kakatiya University,,506 009.,Telangana,South,http://www.kakatiya.ac.in,"0870-2439966,2439977  ",b_venkatrathnam@yahoo.co.in
269,Kalyani University,,Kalyani,West Bengal,East,http://www.klyuniv.ac.in,"091 033 2582-8220  2582-8293  2582-8750  2582-8378  2582-8286,2582-8275  2582-8478  2582-8889  2582-1254   091 033 2502 7562",
270,Kameshwar Singh.Darbhanga Sanskrit Vishwavidyalaya,,846 008.(,Bihar,East,http://www.ksdsu.edu.in,06272-222178   ,info@ksdsu.edu.in  n_mishra2k2@indiatimes.com  info@ksdsu.edu.in  vc@ksdsu.edu.in
271,Karanataka  State Law University,,Navanagar Hubli-580025,Karnataka,South,http://www.kslu.ac.in,0836-2222392   0836 2223392,kslu.registrar@gmail.com   
272,Karanataka  State Open University,,Manasangangotri Mysore-570006,Karnataka,South,http://karnatakastateopenuniversity.in,0821-2500873  2519952     ,info@ksoumysore.net.in
273,Kannada University,,Bellary) 583276,Karnataka,South,http://www.kannadauniversity.org,(08394) 241337  241334  241335  08394) 241334  241335  ,kanandauniversity@gmail.com  mail@kannadauniversity.org        
274,Kannur University,,Distt- Kannur,Kerala,South,http://www.kannuruiversity.ac.in,0497-2785200  2785222  2785335  0497-2782190,registrar@kannuruniversity.ac.in   cnn_knruty@sancharnet.in 
275,"Akkamahadevi women's  University (Formerly known as ""Karnataka State Women's University)",,Vijayapur,Karnataka,South,http://www.kswu.ac.in/,08352-229025   Fax : 08352-229057 ,registrar.kswub@gmail.com  
276,Karanataka  University,,580 003.,Karnataka,South,http://www.kud.ac.in,0836-2215252  ,vc@kud.ac.in
277,Karanataka Veterinary  Animal & Fisheries Science University,,Bidar-585401(,Karnataka,South,www.kvafsu.kar.nic.in; www.kvafsu.edu.in  ,08482-245313; 245241   08482-245107/245241  ,hsmurthy05@yahoo.com; hsmurthy05@gmail.com
278,Kashmir University,,& K),Jammu and Kashmir,North,http://www.kashmiruniversity.net,"0194-2420078  2420405  2420570  2421346  2424152  2429870   0194-2414074,2420408  2414087  2414124 ",info@kashmiruniversity.net
279,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,,,Maharashtra,West,http://www.sanskrituni.net,91-7114-255549  256476  ,unikalidas@yahoomail.com
280,Kerala University,,695 0,Kerala,South,http://www.keralauniversity.edu,"0471-2305738   0471-2305994 ,2306422 (16 Lines  91-471 2307158",ku.release@gmail.com
281,Kerala Agricultural Unviersity,,680 654.,Kerala,South,http://www.kau.edu,0487-2438011  0487-2370019,www.kau.edu
282,King Georges Medical University,,Lucknow U.P.,Uttar Pradesh,North,http://www.kgmcindia.edu,+91 522 2257450  2257451  2257452  2257453  ,info@kgmcindia.edu
283,Kolhan University,,West Singhbhum,Jharkhand,East,www.kalhanuniversity.in,91-6582-255274   91-6582-255274 ,info@kolanuniversity.org 
284,Konkan Krishi Vidyapeeth,,District Ratnagiri,Maharashtra,West,http://www.dbskkv.org,  ,
285,Krantiguru Shyamji Krishna Verma Kachchh University,,Ground Bhuj-Kachchh,Gujarat,West,http://kskvku.digitaluniversity.ac,  02832 - 235012/11,info@kskvkachchhuniversity.org   kachchhuniversi
286,Krishna Kanta Handique State Open University,,Guwahati-781 006,Assam,Northeast,http://www.kkhsou.in,0361-2234964  2235971  0361-2235398,"kkh_sou@yahoo.com ,info@kkhsou.in"
287,Krishna University,,Rajupeta Machllipatanam,Andhra Pradesh,South,http://www.krishnauniversity.ac.in,08672-225960  ,crskru@gmail.com
288,Kumaun University,,Nanital,Uttarakhand,North,http://www.kunainital.ac.in,05942-236856  ,
289,Kurukshetra University,,119 (,Haryana,North,http://www.kuk.ac.in,  ,
290,Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,,Raipur (Chattisgarh),Chhattisgarh,Central,http://www.ktujm.ac.in,0771-  2779202  6499184  6499187  ,kulsachiv@ktujm.ac.in
291,Kuvempu University,,-577 451.,Karnataka,South,http://www.kuvempu.ac.in,08282-256301 to 256307  FAX: 08282-256262  256255,ku@kuvempu.ac.in
292,Lalit Narayan Mithila University,,008. (,Bihar,East,http://www.lnmu.in ,06272-222463  222186   ,vc@lnmu.in 
293,Lucknow University,,226 007.,Uttar Pradesh,North,http://www.lkouniv.ac.in,9412244332, info@lkouniv.ac.in
294,Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya,,District Satna,Madhya Pradesh,Central,http://www.mgcgvchitrakoot.com,(07670) - 265413 / 265411  ,
295,M.J.P. Rohilkhand University,,Marg Bareilly,Uttar Pradesh,North,http://www.mjpru.ac.in ,  ,
296,M.P.Bhoj (open) University,,Road Bhopal,Madhya Pradesh,Central,http://www.bhojvirtualuniversity.com,0755-2492090  2492091  ,directorit.mpbou@gmail.com
297,Madaras University,,Chepauk Chennai,Tamil Nadu,South,http://www.unom.ac.in ,2539 9422  ,info@unom.ac.in
298,Madurai Kamraj University,,Madurai-625 021.(T.N.).,Tamil Nadu,South,http://www.mkuniversity.org,0452-123456  ,mku@mkuniversity.org.
299,Magadh University,,Bodhgaya,Bihar,East,http://www.magadhuniversity.ac.in/,0631-2200572     0631-2200572   ,info@magadhuniversity.org
300,Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya,,Road Ujjain,Madhya Pradesh,Central,http://http://mpsvvujjain.org,0734 - 2526044  0734-2524845,
301,Maharahtra University of Health Sciences,,Nashik-422 005,Maharashtra,West,http://www.muhsnashik.com,(0253) 2539100 (0253) 2539100   2539300  ,
302,Maharaja Sayajirao University of Baroda,,002. (,Gujarat,West,www .msubaroda.ac.in,  ,
303,Maharana Pratap University of Agriculture & Technology,,Campus Udaipur-313001,Rajasthan,North,http://www.mpuat.ac.in,  ,
304,Maharashtra Animal & Fishery Sciences University,,Nagpur-440 006,Maharashtra,West,http://www.mafsu.in,"2511784,85  ",
305,Maharishi Dayanand Saraswati University,,305 001,Rajasthan,North,http://mdsuajmer.ac.in/,0145-2787056/058/412/414/413  ,registrarmdsu@gmail.com
306,Maharishi Dayanand University,,001. (,Haryana,North,http://www.mdurohtak.ac.in,01262-274640  ,
307,Mahatam Gandhi Kashi Vidyapeeth,,002 (U.P),Uttar Pradesh,North,http://www.mgkvp.ac.in,  ,
308,Mahatma Gandhi University,,Nalgonda-500 803,Andhra Pradesh,South,http://www.mguniversity.ac.in,  ,
309,Mahatma Gandhi Unversity,,560. (,Kerala,South,http://www.mgu.ac.in,0481–2731050 TO 2731068  ,vbsrikumar@mgu.ac.in
310,Mahatma Phule Krishi Vidyapeeth,,413 722.,Maharashtra,West,http://www.mpkv.mah.nic.in,  ,
311,Makhanlal Chaturvedi National University of Journalism & Communication,,Zone-1 Bhopal,Madhya Pradesh,Central,http://www.mcu.ac.in/,91-755-2551642  ,registrarmcu@gmail.com
312,Mangalore University,,574 199.,Karnataka,South,http://www.mangaloreuniversity.ac.in,0824-2287276  2287347    0824-2287367  2287424 ,contactus@mangaloreuniversity.ac.in  
313,Manonmaniam Sundarnar University,,627 008.,Tamil Nadu,South,http://www.msuniv.ac.in/,0462-2333741  ,registraroffice@msuniv.ac.in
314,Marathwada Agricultural University,,431 402.,Maharashtra,West,http://www.mkv2.mah.nic.in,  ,
315,Maulana Mazharul Haque Arabic & Persian University,,800 006,Bihar,East,http://mmhapu.bih.nic.in,"0612-2215750   0612-2215711,0612-2581333 ",mmhapupatna@yahoo.in
316,Mohan Lal Shukhadia University,,Udaipur,Rajasthan,North,http://www.mlsu.ac.in,0294-2470918  0294-2471035,registrar@mlsu.ac.in
317,Mother Teresa Women's University,,624 101.,Tamil Nadu,South,http://www. motherteresawomenuniv.ac.in,0452 – 241685  ,
318,Mumbai University,,400 032.,Maharashtra,West,http://www.mu.ac.in,22708700,
319,Mysore University,,570 005.,Karnataka,South,http://www.uni-mysore.ac.in,0821-2419361  ,registrar@uni-mysore.ac.in
320,Nalanda Open University,,Maidan Patna,Bihar,East,http://www.nalandaopenuniversity.com   www.nou.ac.in  ,0612-2201013  2206916   0612-2201001 ,nalopuni@sancharnet.in nou@nou.ac.in 
321,Narendra Deo University of Agriculture & Technology,,229. (U.P),Uttar Pradesh,North,http://www.nduat.ac.in,  ,
322,National Academy of Legal Studies & Research University,,Hyderabad,Telangana,South,http://nalsar.ac.in,040-23498200 / 400  8418-245161 / 174 ,admissions@nalsar.ac.in   
323,National Law Institute University,,Kalan Bhopal,Madhya Pradesh,Central,http://www.nliu.ac.in,0755-2696965/971  ,nliu@nliu.ac.in 
324,National law School of India University,,560 072.,Karnataka,South,http://www.nls.ac.in,91-080-23213160  23160532/533/535  080-23160534,registrar@nls.ac.in
325,National Law Universituy,,342304 (,Rajasthan,North,http://www.nlujodhpur.ac.in,+91-291-2577138  5100713  ,nlu-jod-rj@nic.in
326,National University of Advanced Legal Studies (NUALS),,Kaloor Kochi-682017,Kerala,South,http://www.nuals.ac.in,040484-0484-2555990  2555991  0484 – 2555992,registrar@nuals.ac.in
327,Netaji Shubhash Open University,,Sector-1 Kolkata.,West Bengal,East,http://www.wbnsou.com,-7382,
328,Nilamber-Pitamber University,,Madininager Palamu-822101,Jharkhand,East,http://www.npu.ac.in,"06562-231580 ,231579  ",info@npu.ac.in
329,North Benagal University,,Ram Mohanpur,West Bengal,East,http://www.nbu.ac.in,  ,
330,Kavayitri Bahinabai Chadhari North Maharashtra University,,P.B.No.80 Jalgaon,Maharashtra,West,http://www.nmu.ac.in,  ,
331,Orissa University Of Agriculture & Technology,,Orissa -,,,http://www.ouat.ac.in,2397818 / 2397868 / 2397919 / 2397970 / 2397769 / 2397719 / 2397669  ,ouatmain@hotmail.com   
332,Osmania University,,500 007.,Telangana,South,http://www.osmania.ac.in,"040-27098292,27682243  ",www.osmania.ac.in
333,Palamuru University,,Quarters Mahabubnagar-509001,Telangana,South,http://www.palamuruuniversity.ac.in,91.08542275006  088  91-08542275,
334,Periyar University,,011 (T.N.),Tamil Nadu,South,http://periyaruniversity.ac.in,0427-2345766  2345520  ,
335,Potti Sreeramulu Teugu Universtity,,#NAME?,Telangana,South,http://teluguuniversity.ac.in/,040-23230435  23230641   040-23236045 ,info@teluguuniversity.ac.in
336,Pt. Bhagwat Dayal Sharma University of Health Sciences,,Rohtak-124001,Haryana,North,'http://www.uhsr.ac.in,01262-211300-303  01262-211308,vicehancellor.uhsr@gmail.com
337,Pt. Sundarlal Sharma (Open) University,,Vihar Bilaspur-495001,Chhattisgarh,Central,http://www.pssou.ac.in,-220734,"vc@pssou.ac.in,"
338,Pt.Ravishankar Shukla University,,010 Chattisgarh,Chhattisgarh,Central,http://www.prsu.ac.in,0771-2262818  0771-2262583,
339,Savitribai Phule Pune University,,Ganeshkhind Pune,Maharashtra,West,http://www.unipune.ac.in,25601099/25696061/25690062/25696064/ 25696065  ,
340,Punjab Agriculture University,,141 004.,Punjab,North,http://www.pau.edu,91-161- 2401960-79 Ext:- 213  ,registrar@pau.edu
341,Punjab Technical University,,Kapurthala(PB.),Punjab,North,http://www.ptu.ac.in,"01822-662542,662560,662571  ",ptuddestuc@gmail.com
342,Punjabi University,,147 002.,Punjab,North,http://www.punjabiuniversity.ac.in,  ,
343,Rabindra Bharati University,,700 050.,West Bengal,East,http://www.rbu.ac.in,  ,registrar@rbu.ac.in
344,Swami Keshwanand Rajasthan Agriculture University,,Road Bikaner,Rajasthan,North,http://www.raubikaner.org,91-151-2251083  , cimca@raubikaner.org
345,Rajasthan Ayurveda University,,Jodhpur,Rajasthan,North,,  ,rau_jodhpur@yahoo.co.in
346,Rajasthan Technical University,,Kota-324 010,Rajasthan,North,http://www.rtu.ac.in,0744-2473861  ,rtuweb@gmail.com 
347,Rajasthan University,,302 004.,Rajasthan,North,http://www.uniraj.ernet.in,  ,
348,Rajasthan University of Health Sciences,,Sanganer Jaipur,Rajasthan,North,http://www.ruhsraj.org,0141-2791928  0141-2795529,ruhsacademic@gmail.com
349,Rajendra Agricultural University,,Samastipur-848125 (,Bihar,East,www.pusavarsity.org.in,06274-240226  ,info@pusavarsity.org.in
350,Rajiv Gandhi Prodoyogiki Vishwavidyalaya,,Bhopal 462036(M.P.),Madhya Pradesh,Central,http://www.rgtu.net,0755-2507 833  ,
351,Rajiv Gandhi University of Health Science,,560 041.,Karnataka,South,http://www.rguhs.ac.in,080-26961933/35  ,
352,Ranchi University,,008. (,Jharkhand,East,http://www.ranchiuniversity.ac.in,91-651-2208553  ,admin@ranchiuniversity.org.in
353,Rani Durgavati Vishwavidyalaya,,001. (M.P),Madhya Pradesh,Central,http://www.rdunijbpin.org,(0761) 2600567-68  , rdvvcc1@rediffmail.com
354,Ravenshaw University,,753 003,,,http://ravenshawuniversity.ac.in,  ,ravenshawuniversity@yahoo.co.in
355,Rayalaseema University,,Kurnool-518 002,Andhra Pradesh,South,http://www.rayalaseemauniversity.ac.in,  ,
356,Sambalpur University,,Orissa -,,,http://www.suniv.ac.in,0663-2430157  ,
357,Sampurnanand Sanskrit Vishwavidyalaya,,002. (UP),Uttar Pradesh,North,http://www.ssvv.up.nic.in,0542- 2204089  ,info@ssvv.ac.in
358,Sant Gadge Baba Amravati University,,Amravati-444602 (M.S.),Maharashtra,West,http://www.sgbau.ac.in,  ,
359,Sardar Patel University,,120. (,Gujarat,West,http://www.spuvvn.edu,02692-237258/236475/230309  ,
360,Sardar Vallabh Bhai Patel University of Agriculture & Technology,,Meerut U.P-250110,Uttar Pradesh,North,http://www.svbpmeerut.ac.in,0121-2888590  0121-2888522,
361,Sarguja University,,Ambikapur,Chhattisgarh,Central,http://www.sua.nic.in,"(07774) 222789  222790,  ",registrarsua@yahoo.co.in 
